,corp,city,2
0,업종전체,합계," 2,397,281 "
1,업종전체,서울특별시," 477,788 "
2,업종전체,인천광역시," 121,917 "
3,업종전체,경기도," 555,330 "
4,업종전체,강원도," 85,423 "
5,업종전체,대전광역시," 70,411 "
6,업종전체,충청북도," 77,071 "
7,업종전체,충청남도," 101,074 "
8,업종전체,세종특별자치시," 12,722 "
9,업종전체,광주광역시," 70,813 "
10,업종전체,전라북도," 84,827 "
11,업종전체,전라남도," 85,346 "
12,업종전체,대구광역시," 114,962 "
13,업종전체,경상북도," 129,234 "
14,업종전체,부산광역시," 157,496 "
15,업종전체,울산광역시," 51,500 "
16,업종전체,경상남도," 157,067 "
17,업종전체,제주특별자치도," 44,300 "
18,가구점,합계," 7,486 "
19,가구점,서울특별시," 1,020 "
20,가구점,인천광역시, 299 
21,가구점,경기도," 1,924 "
22,가구점,강원도, 302 
23,가구점,대전광역시, 209 
24,가구점,충청북도, 283 
25,가구점,충청남도, 296 
26,가구점,세종특별자치시, 24 
27,가구점,광주광역시, 214 
28,가구점,전라북도, 396 
29,가구점,전라남도, 270 
30,가구점,대구광역시, 367 
31,가구점,경상북도, 472 
32,가구점,부산광역시, 498 
33,가구점,울산광역시, 178 
34,가구점,경상남도, 543 
35,가구점,제주특별자치도, 191 
36,가전제품수리점,합계," 15,534 "
37,가전제품수리점,서울특별시," 2,567 "
38,가전제품수리점,인천광역시," 1,091 "
39,가전제품수리점,경기도," 4,500 "
40,가전제품수리점,강원도, 541 
41,가전제품수리점,대전광역시, 526 
42,가전제품수리점,충청북도, 459 
43,가전제품수리점,충청남도, 643 
44,가전제품수리점,세종특별자치시, 70 
45,가전제품수리점,광주광역시, 449 
46,가전제품수리점,전라북도, 508 
47,가전제품수리점,전라남도, 508 
48,가전제품수리점,대구광역시, 758 
49,가전제품수리점,경상북도, 564 
50,가전제품수리점,부산광역시, 943 
51,가전제품수리점,울산광역시, 300 
52,가전제품수리점,경상남도, 911 
53,가전제품수리점,제주특별자치도, 196 
54,가전제품판매점,합계," 10,019 "
55,가전제품판매점,서울특별시," 1,520 "
56,가전제품판매점,인천광역시, 369 
57,가전제품판매점,경기도," 1,932 "
58,가전제품판매점,강원도, 467 
59,가전제품판매점,대전광역시, 298 
60,가전제품판매점,충청북도, 434 
61,가전제품판매점,충청남도, 519 
62,가전제품판매점,세종특별자치시, 41 
63,가전제품판매점,광주광역시, 347 
64,가전제품판매점,전라북도, 528 
65,가전제품판매점,전라남도, 572 
66,가전제품판매점,대구광역시, 512 
67,가전제품판매점,경상북도, 694 
68,가전제품판매점,부산광역시, 606 
69,가전제품판매점,울산광역시, 200 
70,가전제품판매점,경상남도, 739 
71,가전제품판매점,제주특별자치도, 241 
72,간이주점,합계," 14,413 "
73,간이주점,서울특별시," 4,658 "
74,간이주점,인천광역시," 1,496 "
75,간이주점,경기도," 2,834 "
76,간이주점,강원도, 428 
77,간이주점,대전광역시, 74 
78,간이주점,충청북도, 468 
79,간이주점,충청남도, 650 
80,간이주점,세종특별자치시, 13 
81,간이주점,광주광역시, 191 
82,간이주점,전라북도, 327 
83,간이주점,전라남도, 252 
84,간이주점,대구광역시, 272 
85,간이주점,경상북도, 383 
86,간이주점,부산광역시, 918 
87,간이주점,울산광역시, 110 
88,간이주점,경상남도," 1,165 "
89,간이주점,제주특별자치도, 174 
90,간판광고물업,합계," 12,976 "
91,간판광고물업,서울특별시," 2,649 "
92,간판광고물업,인천광역시, 551 
93,간판광고물업,경기도," 3,186 "
94,간판광고물업,강원도, 514 
95,간판광고물업,대전광역시, 394 
96,간판광고물업,충청북도, 377 
97,간판광고물업,충청남도, 458 
98,간판광고물업,세종특별자치시, 29 
99,간판광고물업,광주광역시, 435 
100,간판광고물업,전라북도, 500 
101,간판광고물업,전라남도, 473 
102,간판광고물업,대구광역시, 768 
103,간판광고물업,경상북도, 659 
104,간판광고물업,부산광역시, 833 
105,간판광고물업,울산광역시, 261 
106,간판광고물업,경상남도, 694 
107,간판광고물업,제주특별자치도, 195 
108,감정평가사,합계," 1,169 "
109,감정평가사,서울특별시, 253 
110,감정평가사,인천광역시, 77 
111,감정평가사,경기도, 378 
112,감정평가사,강원도, 33 
113,감정평가사,대전광역시, 30 
114,감정평가사,충청북도, 29 
115,감정평가사,충청남도, 35 
116,감정평가사,세종특별자치시, 12 
117,감정평가사,광주광역시, 36 
118,감정평가사,전라북도, 38 
119,감정평가사,전라남도, 19 
120,감정평가사,대구광역시, 55 
121,감정평가사,경상북도, 21 
122,감정평가사,부산광역시, 57 
123,감정평가사,울산광역시, 19 
