사업자 현황 ( 12월/100대 생활업종),,,,,,,
*조회년월,,2020년 12월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,548,586","2,544,505",100.16%,"2,397,281",106.31%
업종전체,서울특별시,합계,"508,188","507,899",100.06%,"477,788",106.36%
업종전체,서울특별시,종로구,"17,122","17,145",99.87%,"16,783",102.02%
업종전체,서울특별시,중구,"18,726","18,790",99.66%,"18,617",100.59%
업종전체,서울특별시,용산구,"14,500","14,503",99.98%,"13,679",106.00%
업종전체,서울특별시,성동구,"16,069","16,076",99.96%,"14,779",108.73%
업종전체,서울특별시,광진구,"18,181","18,162",100.10%,"16,959",107.21%
업종전체,서울특별시,동대문구,"17,465","17,500",99.80%,"16,733",104.37%
업종전체,서울특별시,중랑구,"16,342","16,326",100.10%,"15,372",106.31%
업종전체,서울특별시,성북구,"17,355","17,381",99.85%,"16,347",106.17%
업종전체,서울특별시,강북구,"13,836","13,869",99.76%,"13,227",104.60%
업종전체,서울특별시,도봉구,"12,073","12,079",99.95%,"11,526",104.75%
업종전체,서울특별시,노원구,"18,397","18,446",99.73%,"17,158",107.22%
업종전체,서울특별시,은평구,"18,810","18,780",100.16%,"17,385",108.20%
업종전체,서울특별시,서대문구,"14,132","14,093",100.28%,"13,425",105.27%
업종전체,서울특별시,마포구,"26,542","26,576",99.87%,"25,111",105.70%
업종전체,서울특별시,양천구,"17,860","17,881",99.88%,"16,804",106.28%
업종전체,서울특별시,강서구,"26,443","26,405",100.14%,"23,925",110.52%
업종전체,서울특별시,구로구,"18,154","18,118",100.20%,"16,882",107.53%
업종전체,서울특별시,금천구,"13,364","13,297",100.50%,"12,228",109.29%
업종전체,서울특별시,영등포구,"23,398","23,318",100.34%,"21,773",107.46%
업종전체,서울특별시,동작구,"15,842","15,758",100.53%,"14,919",106.19%
업종전체,서울특별시,관악구,"20,728","20,732",99.98%,"19,323",107.27%
업종전체,서울특별시,서초구,"31,904","31,890",100.04%,"30,326",105.20%
업종전체,서울특별시,강남구,"48,036","48,044",99.98%,"45,430",105.74%
업종전체,서울특별시,송파구,"32,958","32,882",100.23%,"30,673",107.45%
업종전체,서울특별시,강동구,"19,951","19,848",100.52%,"18,404",108.41%
업종전체,인천광역시,합계,"131,544","131,051",100.38%,"121,917",107.90%
업종전체,인천광역시,중구,"8,467","8,410",100.68%,"7,627",111.01%
