사업자 현황 ( 3월/100대 생활업종),,,,,,,
*조회년월,,2020년 3월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
 업종전체,합계,합계,"2,418,349 ","2,415,709 ",100.11%,"2,316,746 ",104.39%
 업종전체,서울특별시,합계,"481,508 ","482,174 ",99.86%,"462,599 ",104.09%
 업종전체,서울특별시,종로구,"16,815 ","16,837 ",99.87%,"16,612 ",101.22%
 업종전체,서울특별시,중구,"18,654 ","18,694 ",99.79%,"18,286 ",102.01%
 업종전체,서울특별시,용산구,"13,741 ","13,758 ",99.88%,"13,287 ",103.42%
 업종전체,서울특별시,성동구,"15,072 ","14,983 ",100.59%,"14,042 ",107.34%
 업종전체,서울특별시,광진구,"17,236 ","17,209 ",100.16%,"16,454 ",104.75%
 업종전체,서울특별시,동대문구,"16,682 ","16,837 ",99.08%,"16,571 ",100.67%
 업종전체,서울특별시,중랑구,"15,304 ","15,458 ",99.00%,"14,897 ",102.73%
 업종전체,서울특별시,성북구,"16,420 ","16,444 ",99.85%,"15,858 ",103.54%
 업종전체,서울특별시,강북구,"13,228 ","13,312 ",99.37%,"12,851 ",102.93%
 업종전체,서울특별시,도봉구,"11,493 ","11,584 ",99.21%,"11,193 ",102.68%
 업종전체,서울특별시,노원구,"17,300 ","17,282 ",100.10%,"16,737 ",103.36%
 업종전체,서울특별시,은평구,"17,576 ","17,523 ",100.30%,"16,815 ",104.53%
 업종전체,서울특별시,서대문구,"13,509 ","13,535 ",99.81%,"12,938 ",104.41%
 업종전체,서울특별시,마포구,"25,362 ","25,366 ",99.98%,"24,165 ",104.95%
 업종전체,서울특별시,양천구,"16,876 ","16,886 ",99.94%,"16,332 ",103.33%
 업종전체,서울특별시,강서구,"24,349 ","24,327 ",100.09%,"22,619 ",107.65%
 업종전체,서울특별시,구로구,"17,075 ","17,120 ",99.74%,"16,474 ",103.65%
 업종전체,서울특별시,금천구,"12,416 ","12,422 ",99.95%,"11,560 ",107.40%
 업종전체,서울특별시,영등포구,"22,111 ","22,044 ",100.30%,"21,075 ",104.92%
 업종전체,서울특별시,동작구,"15,021 ","15,042 ",99.86%,"14,548 ",103.25%
 업종전체,서울특별시,관악구,"19,426 ","19,476 ",99.74%,"18,599 ",104.45%
 업종전체,서울특별시,서초구,"30,570 ","30,562 ",100.03%,"29,502 ",103.62%
