사업자 현황 ( 4월/100대 생활업종),,,,,,,
*조회년월,,2020년 4월,,,,,
,,,,,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,433,695 ","2,418,349 ",100.63%,"2,329,426 ",104.48%
업종전체,서울특별시,합계,"484,468 ","481,508 ",100.61%,"464,954 ",104.20%
업종전체,서울특별시,종로구,"16,844 ","16,815 ",100.17%,"16,657 ",101.12%
업종전체,서울특별시,중구,"18,688 ","18,654 ",100.18%,"18,380 ",101.68%
업종전체,서울특별시,용산구,"13,776 ","13,741 ",100.25%,"13,337 ",103.29%
업종전체,서울특별시,성동구,"15,208 ","15,072 ",100.90%,"14,142 ",107.54%
업종전체,서울특별시,광진구,"17,302 ","17,236 ",100.38%,"16,547 ",104.56%
업종전체,서울특별시,동대문구,"16,743 ","16,682 ",100.37%,"16,621 ",100.73%
업종전체,서울특별시,중랑구,"15,412 ","15,304 ",100.71%,"14,984 ",102.86%
업종전체,서울특별시,성북구,"16,486 ","16,420 ",100.40%,"15,982 ",103.15%
업종전체,서울특별시,강북구,"13,307 ","13,228 ",100.60%,"12,931 ",102.91%
업종전체,서울특별시,도봉구,"11,567 ","11,493 ",100.64%,"11,241 ",102.90%
업종전체,서울특별시,노원구,"17,460 ","17,300 ",100.92%,"16,814 ",103.84%
업종전체,서울특별시,은평구,"17,735 ","17,576 ",100.90%,"16,921 ",104.81%
업종전체,서울특별시,서대문구,"13,604 ","13,509 ",100.70%,"13,040 ",104.33%
업종전체,서울특별시,마포구,"25,535 ","25,362 ",100.68%,"24,273 ",105.20%
업종전체,서울특별시,양천구,"16,995 ","16,876 ",100.71%,"16,377 ",103.77%
업종전체,서울특별시,강서구,"24,637 ","24,349 ",101.18%,"22,803 ",108.04%
업종전체,서울특별시,구로구,"17,160 ","17,075 ",100.50%,"16,554 ",103.66%
업종전체,서울특별시,금천구,"12,483 ","12,416 ",100.54%,"11,634 ",107.30%
업종전체,서울특별시,영등포구,"22,269 ","22,111 ",100.71%,"21,156 ",105.26%
업종전체,서울특별시,동작구,"15,147 ","15,021 ",100.84%,"14,613 ",103.65%
업종전체,서울특별시,관악구,"19,614 ","19,426 ",100.97%,"18,663 ",105.10%
업종전체,서울특별시,서초구,"30,695 ","30,570 ",100.41%,"29,667 ",103.47%
업종전체,서울특별시,강남구,"46,004 ","45,825 ",100.39%,"44,304 ",103.84%
업종전체,서울특별시,송파구,"31,093 ","30,876 ",100.70%,"29,488 ",105.44%
업종전체,서울특별시,강동구,"18,704 ","18,571 ",100.72%,"17,825 ",104.93%
업종전체,인천광역시,합계,"124,167 ","123,300 ",100.70%,"117,814 ",105.39%
업종전체,인천광역시,중구,"7,834 ","7,758 ",100.98%,"7,245 ",108.13%
업종전체,인천광역시,서구,"21,842 ","21,659 ",100.84%,"20,297 ",107.61%
업종전체,인천광역시,동구,"2,828 ","2,812 ",100.57%,"2,781 ",101.69%
업종전체,인천광역시,미추홀구,"17,622 ","17,536 ",100.49%,"16,927 ",104.11%
업종전체,인천광역시,연수구,"13,465 ","13,315 ",101.13%,"12,325 ",109.25%
업종전체,인천광역시,남동구,"22,720 ","22,633 ",100.38%,"21,714 ",104.63%
업종전체,인천광역시,부평구,"20,815 ","20,707 ",100.52%,"20,056 ",103.78%
업종전체,인천광역시,계양구,"11,654 ","11,538 ",101.01%,"11,343 ",102.74%
업종전체,인천광역시,강화군,"4,064 ","4,029 ",100.87%,"3,872 ",104.96%
업종전체,인천광역시,옹진군,"1,323 ","1,313 ",100.76%,"1,254 ",105.50%
업종전체,경기도,합계,"568,995 ","564,220 ",100.85%,"531,570 ",107.04%
업종전체,경기도,수원시 장안구,"10,599 ","10,591 ",100.08%,"10,328 ",102.62%
업종전체,경기도,수원시 권선구,"13,616 ","13,522 ",100.70%,"12,729 ",106.97%
업종전체,경기도,수원시 팔달구,"11,980 ","11,925 ",100.46%,"11,706 ",102.34%
업종전체,경기도,수원시 영통구,"14,243 ","14,145 ",100.69%,"13,048 ",109.16%
업종전체,경기도,성남시 수정구,"10,352 ","10,240 ",101.09%,"9,707 ",106.64%
업종전체,경기도,성남시 중원구,"10,136 ","10,057 ",100.79%,"9,776 ",103.68%
업종전체,경기도,성남시 분당구,"22,017 ","21,876 ",100.64%,"21,075 ",104.47%
업종전체,경기도,의정부시,"20,286 ","20,104 ",100.91%,"19,296 ",105.13%
업종전체,경기도,안양시 만안구,"10,271 ","10,229 ",100.41%,"9,903 ",103.72%
업종전체,경기도,안양시 동안구,"14,656 ","14,551 ",100.72%,"13,985 ",104.80%
업종전체,경기도,부천시,"36,641 ","36,374 ",100.73%,"35,034 ",104.59%
업종전체,경기도,광명시,"11,860 ","11,812 ",100.41%,"11,420 ",103.85%
업종전체,경기도,평택시,"24,419 ","24,195 ",100.93%,"22,933 ",106.48%
업종전체,경기도,동두천시,"4,294 ","4,285 ",100.21%,"4,205 ",102.12%
업종전체,경기도,안산시 상록구,"13,234 ","13,099 ",101.03%,"12,606 ",104.98%
업종전체,경기도,안산시 단원구,"16,670 ","16,588 ",100.49%,"15,813 ",105.42%
업종전체,경기도,고양시 덕양구,"17,690 ","17,565 ",100.71%,"16,497 ",107.23%
업종전체,경기도,고양시 일산동구,"16,798 ","16,643 ",100.93%,"15,870 ",105.85%
업종전체,경기도,고양시 일산서구,"12,153 ","12,066 ",100.72%,"11,379 ",106.80%
업종전체,경기도,과천시,"2,404 ","2,382 ",100.92%,"2,273 ",105.76%
업종전체,경기도,구리시,"9,427 ","9,334 ",101.00%,"8,943 ",105.41%
업종전체,경기도,남양주시,"28,575 ","28,264 ",101.10%,"25,912 ",110.28%
업종전체,경기도,오산시,"8,586 ","8,543 ",100.50%,"8,153 ",105.31%
업종전체,경기도,시흥시,"20,898 ","20,671 ",101.10%,"18,739 ",111.52%
업종전체,경기도,군포시,"9,862 ","9,800 ",100.63%,"9,421 ",104.68%
업종전체,경기도,의왕시,"5,192 ","5,175 ",100.33%,"4,913 ",105.68%
업종전체,경기도,하남시,"11,627 ","11,423 ",101.79%,"9,621 ",120.85%
업종전체,경기도,용인시 처인구,"11,907 ","11,836 ",100.60%,"10,975 ",108.49%
업종전체,경기도,용인시 기흥구,"15,865 ","15,702 ",101.04%,"14,399 ",110.18%
업종전체,경기도,용인시 수지구,"11,683 ","11,563 ",101.04%,"10,623 ",109.98%
업종전체,경기도,파주시,"19,481 ","19,285 ",101.02%,"18,007 ",108.19%
업종전체,경기도,이천시,"9,724 ","9,671 ",100.55%,"9,316 ",104.38%
업종전체,경기도,안성시,"8,368 ","8,337 ",100.37%,"8,095 ",103.37%
업종전체,경기도,김포시,"19,473 ","19,235 ",101.24%,"17,244 ",112.93%
업종전체,경기도,화성시,"32,773 ","32,333 ",101.36%,"29,104 ",112.61%
업종전체,경기도,광주시,"15,191 ","14,986 ",101.37%,"13,937 ",109.00%
업종전체,경기도,양주시,"9,455 ","9,367 ",100.94%,"8,648 ",109.33%
업종전체,경기도,포천시,"8,389 ","8,352 ",100.44%,"8,156 ",102.86%
업종전체,경기도,여주시,"5,305 ","5,272 ",100.63%,"5,240 ",101.24%
업종전체,경기도,연천군,"2,177 ","2,165 ",100.55%,"2,156 ",100.97%
업종전체,경기도,가평군,"4,760 ","4,748 ",100.25%,"4,607 ",103.32%
업종전체,경기도,양평군,"5,958 ","5,909 ",100.83%,"5,777 ",103.13%
업종전체,경기도,부천시 원미구,0 ,0 ,,*,
업종전체,강원도,합계,"86,288 ","85,671 ",100.72%,"83,515 ",103.32%
업종전체,강원도,춘천시,"14,290 ","14,212 ",100.55%,"13,904 ",102.78%
업종전체,강원도,원주시,"18,226 ","18,081 ",100.80%,"17,409 ",104.69%
업종전체,강원도,강릉시,"12,790 ","12,697 ",100.73%,"12,189 ",104.93%
업종전체,강원도,동해시,"4,896 ","4,863 ",100.68%,"4,807 ",101.85%
업종전체,강원도,태백시,"2,342 ","2,334 ",100.34%,"2,278 ",102.81%
업종전체,강원도,속초시,"5,809 ","5,772 ",100.64%,"5,604 ",103.66%
업종전체,강원도,삼척시,"3,531 ","3,506 ",100.71%,"3,423 ",103.16%
업종전체,강원도,홍천군,"3,912 ","3,873 ",101.01%,"3,809 ",102.70%
업종전체,강원도,횡성군,"2,287 ","2,271 ",100.70%,"2,204 ",103.77%
업종전체,강원도,영월군,"2,091 ","2,083 ",100.38%,"2,078 ",100.63%
업종전체,강원도,평창군,"2,877 ","2,868 ",100.31%,"2,850 ",100.95%
업종전체,강원도,정선군,"2,328 ","2,317 ",100.47%,"2,355 ",98.85%
업종전체,강원도,철원군,"2,378 ","2,363 ",100.63%,"2,343 ",101.49%
업종전체,강원도,화천군,"1,322 ","1,307 ",101.15%,"1,297 ",101.93%
업종전체,강원도,양구군,"1,222 ","1,217 ",100.41%,"1,198 ",102.00%
업종전체,강원도,인제군,"2,148 ","2,122 ",101.23%,"2,081 ",103.22%
업종전체,강원도,고성군,"1,699 ","1,681 ",101.07%,"1,626 ",104.49%
업종전체,강원도,양양군,"2,140 ","2,104 ",101.71%,"2,060 ",103.88%
업종전체,대전광역시,합계,"71,282 ","70,954 ",100.46%,"68,754 ",103.68%
업종전체,대전광역시,중구,"12,440 ","12,385 ",100.44%,"12,134 ",102.52%
업종전체,대전광역시,서구,"23,769 ","23,634 ",100.57%,"22,852 ",104.01%
업종전체,대전광역시,동구,"10,420 ","10,376 ",100.42%,"10,187 ",102.29%
업종전체,대전광역시,유성구,"16,356 ","16,303 ",100.33%,"15,491 ",105.58%
업종전체,대전광역시,대덕구,"8,297 ","8,256 ",100.50%,"8,090 ",102.56%
업종전체,충청북도,합계,"77,770 ","77,371 ",100.52%,"75,339 ",103.23%
업종전체,충청북도,청주시 상당구,"9,006 ","8,938 ",100.76%,"8,756 ",102.86%
업종전체,충청북도,청주시 서원구,"9,085 ","9,042 ",100.48%,"8,963 ",101.36%
업종전체,충청북도,청주시 흥덕구,"12,424 ","12,346 ",100.63%,"11,800 ",105.29%
업종전체,충청북도,청주시 청원구,"8,873 ","8,843 ",100.34%,"8,466 ",104.81%
업종전체,충청북도,충주시,"10,826 ","10,759 ",100.62%,"10,469 ",103.41%
업종전체,충청북도,제천시,"7,447 ","7,427 ",100.27%,"7,324 ",101.68%
업종전체,충청북도,보은군,"1,584 ","1,579 ",100.32%,"1,591 ",99.56%
업종전체,충청북도,옥천군,"2,193 ","2,177 ",100.73%,"2,141 ",102.43%
업종전체,충청북도,영동군,"2,211 ","2,203 ",100.36%,"2,208 ",100.14%
업종전체,충청북도,증평군,"1,842 ","1,834 ",100.44%,"1,787 ",103.08%
업종전체,충청북도,진천군,"3,837 ","3,811 ",100.68%,"3,600 ",106.58%
업종전체,충청북도,괴산군,"1,716 ","1,732 ",99.08%,"1,737 ",98.79%
업종전체,충청북도,음성군,"4,961 ","4,924 ",100.75%,"4,771 ",103.98%
업종전체,충청북도,단양군,"1,765 ","1,756 ",100.51%,"1,726 ",102.26%
업종전체,충청남도,합계,"102,336 ","101,737 ",100.59%,"98,991 ",103.38%
업종전체,충청남도,천안시 동남구,"12,739 ","12,680 ",100.47%,"12,188 ",104.52%
업종전체,충청남도,천안시 서북구,"18,099 ","17,967 ",100.73%,"17,065 ",106.06%
업종전체,충청남도,공주시,"5,459 ","5,448 ",100.20%,"5,385 ",101.37%
업종전체,충청남도,보령시,"5,609 ","5,585 ",100.43%,"5,555 ",100.97%
업종전체,충청남도,아산시,"13,528 ","13,404 ",100.93%,"12,884 ",105.00%
업종전체,충청남도,서산시,"8,526 ","8,491 ",100.41%,"8,264 ",103.17%
업종전체,충청남도,논산시,"5,957 ","5,927 ",100.51%,"5,832 ",102.14%
업종전체,충청남도,계룡시,"1,520 ","1,503 ",101.13%,"1,490 ",102.01%
업종전체,충청남도,당진시,"7,845 ","7,821 ",100.31%,"7,694 ",101.96%
업종전체,충청남도,금산군,"3,219 ","3,190 ",100.91%,"3,134 ",102.71%
업종전체,충청남도,부여군,"2,752 ","2,745 ",100.26%,"2,710 ",101.55%
업종전체,충청남도,서천군,"2,506 ","2,487 ",100.76%,"2,488 ",100.72%
업종전체,충청남도,청양군,"1,301 ","1,297 ",100.31%,"1,300 ",100.08%
업종전체,충청남도,홍성군,"4,901 ","4,866 ",100.72%,"4,745 ",103.29%
업종전체,충청남도,예산군,"3,919 ","3,893 ",100.67%,"3,903 ",100.41%
업종전체,충청남도,태안군,"4,456 ","4,433 ",100.52%,"4,354 ",102.34%
업종전체,세종특별자치시,합계,"13,236 ","13,108 ",100.98%,"11,782 ",112.34%
업종전체,세종특별자치시,세종시,"13,236 ","13,108 ",100.98%,"11,782 ",112.34%
업종전체,광주광역시,합계,"71,610 ","71,367 ",100.34%,"69,009 ",103.77%
업종전체,광주광역시,서구,"16,662 ","16,625 ",100.22%,"16,090 ",103.56%
업종전체,광주광역시,동구,"8,433 ","8,418 ",100.18%,"8,345 ",101.05%
업종전체,광주광역시,남구,"9,034 ","8,983 ",100.57%,"8,597 ",105.08%
업종전체,광주광역시,북구,"19,630 ","19,577 ",100.27%,"18,995 ",103.34%
업종전체,광주광역시,광산구,"17,851 ","17,764 ",100.49%,"16,982 ",105.12%
업종전체,전라북도,합계,"85,678 ","85,296 ",100.45%,"83,303 ",102.85%
업종전체,전라북도,전주시 완산구,"18,827 ","18,762 ",100.35%,"18,395 ",102.35%
업종전체,전라북도,전주시 덕진구,"14,377 ","14,304 ",100.51%,"13,687 ",105.04%
업종전체,전라북도,군산시,"13,326 ","13,274 ",100.39%,"13,037 ",102.22%
업종전체,전라북도,익산시,"12,757 ","12,685 ",100.57%,"12,457 ",102.41%
업종전체,전라북도,정읍시,"4,836 ","4,821 ",100.31%,"4,738 ",102.07%
업종전체,전라북도,남원시,"4,088 ","4,057 ",100.76%,"4,041 ",101.16%
업종전체,전라북도,김제시,"3,234 ","3,221 ",100.40%,"3,146 ",102.80%
업종전체,전라북도,완주군,"3,907 ","3,895 ",100.31%,"3,728 ",104.80%
업종전체,전라북도,진안군,"1,003 ",999 ,100.40%,986 ,101.72%
업종전체,전라북도,무주군,"1,336 ","1,339 ",99.78%,"1,311 ",101.91%
업종전체,전라북도,장수군,837 ,836 ,100.12%,824 ,101.58%
업종전체,전라북도,임실군,"1,077 ","1,069 ",100.75%,"1,043 ",103.26%
업종전체,전라북도,순창군,"1,044 ","1,038 ",100.58%,"1,029 ",101.46%
업종전체,전라북도,고창군,"2,300 ","2,283 ",100.74%,"2,222 ",103.51%
업종전체,전라북도,부안군,"2,729 ","2,713 ",100.59%,"2,659 ",102.63%
업종전체,전라남도,합계,"86,112 ","85,631 ",100.56%,"83,716 ",102.86%
업종전체,전라남도,목포시,"12,596 ","12,540 ",100.45%,"12,322 ",102.22%
업종전체,전라남도,여수시,"14,611 ","14,573 ",100.26%,"14,364 ",101.72%
업종전체,전라남도,순천시,"13,677 ","13,621 ",100.41%,"13,231 ",103.37%
업종전체,전라남도,나주시,"4,806 ","4,759 ",100.99%,"4,549 ",105.65%
업종전체,전라남도,광양시,"6,877 ","6,838 ",100.57%,"6,734 ",102.12%
업종전체,전라남도,담양군,"1,927 ","1,909 ",100.94%,"1,821 ",105.82%
업종전체,전라남도,곡성군,"1,038 ","1,030 ",100.78%,"1,010 ",102.77%
업종전체,전라남도,구례군,"1,248 ","1,237 ",100.89%,"1,205 ",103.57%
업종전체,전라남도,고흥군,"2,537 ","2,524 ",100.52%,"2,489 ",101.93%
업종전체,전라남도,보성군,"1,849 ","1,848 ",100.05%,"1,843 ",100.33%
업종전체,전라남도,화순군,"2,453 ","2,429 ",100.99%,"2,390 ",102.64%
업종전체,전라남도,장흥군,"1,696 ","1,692 ",100.24%,"1,671 ",101.50%
업종전체,전라남도,강진군,"1,556 ","1,555 ",100.06%,"1,518 ",102.50%
업종전체,전라남도,해남군,"3,048 ","3,019 ",100.96%,"2,972 ",102.56%
업종전체,전라남도,영암군,"2,118 ","2,108 ",100.47%,"2,089 ",101.39%
업종전체,전라남도,무안군,"3,676 ","3,626 ",101.38%,"3,556 ",103.37%
업종전체,전라남도,함평군,"1,049 ","1,047 ",100.19%,"1,023 ",102.54%
업종전체,전라남도,영광군,"2,432 ","2,424 ",100.33%,"2,330 ",104.38%
업종전체,전라남도,장성군,"1,647 ","1,640 ",100.43%,"1,577 ",104.44%
업종전체,전라남도,완도군,"2,614 ","2,583 ",101.20%,"2,502 ",104.48%
업종전체,전라남도,진도군,"1,397 ","1,392 ",100.36%,"1,351 ",103.40%
업종전체,전라남도,신안군,"1,260 ","1,237 ",101.86%,"1,169 ",107.78%
업종전체,대구광역시,합계,"116,345 ","115,633 ",100.62%,"112,385 ",103.52%
업종전체,대구광역시,중구,"11,924 ","11,889 ",100.29%,"11,736 ",101.60%
업종전체,대구광역시,서구,"8,380 ","8,339 ",100.49%,"8,346 ",100.41%
업종전체,대구광역시,동구,"15,153 ","15,081 ",100.48%,"14,838 ",102.12%
업종전체,대구광역시,남구,"8,122 ","8,053 ",100.86%,"7,968 ",101.93%
업종전체,대구광역시,북구,"18,589 ","18,450 ",100.75%,"17,785 ",104.52%
업종전체,대구광역시,수성구,"20,330 ","20,226 ",100.51%,"19,365 ",104.98%
업종전체,대구광역시,달서구,"24,076 ","23,935 ",100.59%,"23,213 ",103.72%
업종전체,대구광역시,달성군,"9,771 ","9,660 ",101.15%,"9,134 ",106.97%
업종전체,경상북도,합계,"130,110 ","129,542 ",100.44%,"126,846 ",102.57%
업종전체,경상북도,포항시 남구,"11,753 ","11,687 ",100.56%,"11,456 ",102.59%
업종전체,경상북도,포항시 북구,"13,679 ","13,599 ",100.59%,"13,153 ",104.00%
업종전체,경상북도,경주시,"14,292 ","14,262 ",100.21%,"14,032 ",101.85%
업종전체,경상북도,김천시,"6,155 ","6,150 ",100.08%,"6,077 ",101.28%
업종전체,경상북도,안동시,"8,085 ","8,039 ",100.57%,"8,000 ",101.06%
업종전체,경상북도,구미시,"19,712 ","19,687 ",100.13%,"19,148 ",102.95%
업종전체,경상북도,영주시,"5,877 ","5,836 ",100.70%,"5,769 ",101.87%
업종전체,경상북도,영천시,"4,379 ","4,350 ",100.67%,"4,280 ",102.31%
업종전체,경상북도,상주시,"4,321 ","4,302 ",100.44%,"4,320 ",100.02%
업종전체,경상북도,문경시,"3,812 ","3,803 ",100.24%,"3,757 ",101.46%
업종전체,경상북도,경산시,"12,278 ","12,189 ",100.73%,"11,668 ",105.23%
업종전체,경상북도,군위군,896 ,890 ,100.67%,840 ,106.67%
업종전체,경상북도,의성군,"2,043 ","2,022 ",101.04%,"1,992 ",102.56%
업종전체,경상북도,청송군,"1,437 ","1,430 ",100.49%,"1,415 ",101.55%
업종전체,경상북도,영양군,692 ,690 ,100.29%,698 ,99.14%
업종전체,경상북도,영덕군,"2,556 ","2,537 ",100.75%,"2,460 ",103.90%
