,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,544,505","7,643","1,608","17,052","10,200","12,592","13,023","1,238","14,056","7,406","10,501","1,679","5,077","39,149",991,"1,847","12,386","56,480","20,492","15,613","1,145","3,323","25,005","22,422","24,533","11,465","28,884","12,352","17,839","9,744","4,243","5,298","9,083","104,459","6,628","1,057","7,744","131,919","54,226","14,982","1,671","12,182","8,494","1,535","12,947","24,230","28,746","26,299","8,788","15,229","8,154","48,432","1,838","6,365","5,301","62,123","2,190","9,253","1,681","8,566","23,208","20,211","13,558","30,809",835,"85,173","7,192","2,707","12,133","2,625","4,999","18,310","45,134","2,533","3,034","20,255","18,095","3,445","10,926","8,283","4,823","25,041","12,260","8,799","18,538","9,904","70,806","5,158","353,110","42,642","15,993","44,789","4,066","41,798","10,039","14,971","396,621","8,479","29,872","35,189","18,734"
1,서울특별시,"507,899","1,031",76,"2,823","1,538","3,968","2,585",268,"2,322",767,"2,742",449,643,"7,856",423,847,"1,306","10,466","3,626","3,434",314,912,"7,635","4,241","4,438","2,489","5,477","2,135","3,081","3,257",841,665,"1,539","18,215","1,994",745,"4,035","32,429","10,716","4,869",494,"1,505","1,637",761,"5,368","4,703","3,816","4,848","2,352","1,492","1,875","5,434",541,"1,246",713,"14,474",361,"2,023",460,"1,365","5,217","1,782","5,246","5,410",159,"15,489","1,591",461,"2,165",701,"1,161","5,557","4,977",395,504,"2,794","3,723",443,435,"1,807",481,"4,828","1,627","1,367","4,947","1,253","13,522","1,050","103,059","7,090",726,"8,142","1,399","7,863","1,584","3,711","54,696","2,077","6,119","6,581","3,095"
2,인천광역시,"131,051",307,68,"1,221",391,"1,268",552,82,655,395,353,66,214,"1,803",42,69,446,"2,523","1,327",650,33,151,852,923,986,597,"2,222",373,"1,133",473,194,199,464,"5,570",294,16,267,"7,217","2,545",661,81,788,395,49,543,"1,314","1,777","1,415",457,523,361,"2,115",75,329,222,"3,685",71,420,66,530,"1,135",806,394,"1,494",23,"4,022",302,96,414,140,266,957,"2,393",100,144,"1,070",829,151,287,311,245,"1,215",584,496,943,426,"3,585",212,"23,013","2,010",712,"2,389",187,"2,358",534,701,"18,741",457,"1,601","1,447","1,043"
3,경기도,"605,277","2,058",371,"5,036","2,044","2,567","3,235",400,"2,847",891,"2,218",256,897,"9,876",178,318,"2,030","15,039","5,007","3,670",268,660,"5,379","5,280","5,692","2,657","6,949","1,682","4,536","2,344","1,102",722,"2,101","23,659","1,244",93,"1,004","37,113","12,764","3,289",337,"1,350","2,062",198,"2,866","5,559","7,785","6,862","2,373","3,368","1,307","9,145",385,"1,241","1,399","18,524",492,"2,034",361,"2,696","5,194","3,138","1,756","8,476",127,"17,724","1,642",477,"2,156",663,"1,196","3,884","11,587",627,883,"4,392","4,270",694,"2,273","1,429","1,039","5,432","2,244","1,835","4,398","1,930","15,377","1,208","108,064","9,487","2,135","11,442",860,"10,050","2,420","3,307","82,879","2,040","6,255","8,106","4,361"
4,강원도,"89,078",300,93,578,465,384,523,35,516,673,345,34,329,"1,084",17,15,316,"1,446",572,464,39,70,812,963,787,321,825,560,774,163,102,177,360,"3,636",194,*,118,"2,683","1,690",432,37,598,235,17,177,960,998,728,258,880,236,"2,814",40,239,175,"1,297",105,254,42,240,689,"1,522",343,892,35,"3,145",188,92,657,51,136,938,"1,801",88,101,876,589,85,638,155,157,"1,062",823,475,406,389,"2,554",185,"4,945","1,944","2,849","1,859",62,"1,202",432,372,"19,860",241,"1,268","1,113",633
5,대전광역시,"73,569",211,38,566,306,79,384,31,482,129,224,69,152,"1,459",21,34,322,"1,278",667,525,28,146,623,525,733,380,"1,255",273,484,278,102,95,307,"3,362",171,89,230,"3,441","1,961",416,60,173,324,46,286,890,670,833,200,377,231,"1,317",75,195,153,"2,071",68,316,49,279,745,595,313,879,21,"2,807",254,66,406,80,147,448,"1,463",88,88,759,549,98,240,190,216,611,328,283,541,415,"2,503",189,"8,360","1,132",28,"1,233",112,"1,296",296,518,"11,802",268,807,"1,245",661
6,충청북도,"80,495",276,74,498,412,409,383,32,431,109,307,52,249,"1,053",18,33,656,"1,469",731,417,34,95,565,697,910,321,"1,108",528,697,200,113,151,325,"3,555",171,5,107,"3,035","2,192",318,45,188,240,24,175,912,956,766,204,629,249,"2,224",48,214,193,"1,448",95,290,40,253,685,847,269,880,36,"2,892",192,92,425,60,176,501,"1,864",83,84,805,560,101,715,170,187,929,528,344,444,388,"2,382",192,"6,678","1,711",485,"1,614",80,"1,246",355,406,"15,730",276,"1,601",996,557
7,충청남도,"105,936",297,131,711,533,562,479,37,"1,284",633,363,74,386,"1,323",27,43,695,"1,870",995,590,35,100,731,931,"1,134",449,"1,187",594,767,244,191,195,433,"4,361",221,8,148,"4,342","2,346",413,49,748,359,26,270,"1,150","1,221",947,232,"1,012",315,"3,318",52,270,229,"1,699",93,347,52,361,971,"1,474",315,"1,100",64,"3,302",285,143,642,58,196,709,"2,509",118,139,"1,028",726,140,"1,006",152,217,"1,241",734,459,577,506,"3,082",223,"8,798","2,208","1,357","2,387",100,"1,461",446,520,"19,952",289,"1,439","1,355",895
8,세종특별자치시,"14,290",30,4,83,45,15,31,12,60,15,61,8,31,330,6,12,105,488,78,130,4,20,170,124,115,67,143,45,94,46,26,14,83,442,24,*,18,"1,494",219,65,10,24,73,6,45,110,142,222,60,80,23,222,12,27,35,280,4,49,6,32,135,65,52,291,5,371,30,8,42,16,34,100,203,15,22,124,125,13,69,30,3,162,60,37,91,56,493,34,"1,817",349,9,290,17,200,48,82,"2,161",47,121,161,81
9,광주광역시,"73,822",217,39,487,350,176,432,37,414,179,251,86,109,854,29,34,306,"2,392",386,549,38,127,397,877,763,329,"1,006",287,584,386,108,172,289,"3,333",220,11,224,"4,281","1,569",417,53,347,273,47,310,894,839,945,263,436,264,"1,399",52,212,122,"2,189",42,354,41,192,679,490,391,"1,098",23,"3,094",312,65,256,81,100,269,"1,530",58,73,558,502,179,273,270,232,476,268,283,644,381,"1,977",185,"7,598","1,232",27,"1,101",125,"1,762",470,408,"10,296",235,"2,032","1,191",579
10,전라북도,"88,077",403,108,574,533,279,512,39,751,360,372,83,371,867,27,36,609,"2,422",743,572,39,181,771,697,"1,103",418,808,624,612,277,164,206,417,"4,015",250,6,195,"3,303","2,049",434,54,635,348,26,275,927,999,867,265,892,376,"3,336",71,284,184,289,88,357,63,238,934,"1,009",407,"1,319",43,"3,336",343,129,492,74,182,516,"1,986",138,107,"1,087",635,169,831,146,289,"1,043",680,420,589,494,"2,850",205,"6,618","1,734",491,"1,341",97,"1,387",395,540,"14,585",239,"1,168","1,486",739
11,전라남도,"89,212",280,119,523,574,249,486,20,483,950,298,53,408,847,12,25,666,"1,811",611,489,45,109,439,768,"1,187",434,700,935,716,187,170,290,410,"3,651",225,3,93,"2,445","1,484",351,24,"1,687",259,16,136,879,"1,216",738,182,903,285,"3,579",43,255,173,"1,346",93,316,49,191,799,"1,293",444,875,41,"3,043",222,150,608,49,139,441,"2,011",95,114,858,596,201,819,113,220,833,786,468,501,494,"2,628",179,"6,042","1,634",923,"1,285",78,"1,570",377,399,"18,005",190,"2,137","1,053",583
12,대구광역시,"120,632",366,42,825,489,240,758,59,596,159,698,114,187,"2,885",33,89,393,"2,681",844,845,34,160,"1,208","1,140","1,166",583,"1,581",489,663,427,171,246,357,"5,662",312,23,287,"6,084","2,502",676,106,247,494,81,563,908,"1,608","1,305",355,631,523,"1,651",114,326,320,"2,879",94,475,101,383,"1,308",650,523,"1,413",39,"5,227",349,154,575,158,307,831,"2,278",150,133,"1,316",949,195,338,424,489,"1,239",458,337,903,655,"3,212",239,"15,788","1,634",43,"1,732",215,"1,784",524,892,"19,884",405,503,"2,124","1,017"
13,경상북도,"134,378",478,167,619,696,341,674,19,939,654,490,67,373,"2,100",19,27,"1,374","2,576","1,249",643,47,109,736,"1,154","1,439",536,"1,481","1,283",900,263,282,407,518,"6,050",261,5,122,"4,279","2,584",536,66,966,397,16,241,"1,288","1,787","1,199",319,"1,225",427,"3,480",50,361,325,"2,031",193,435,69,429,"1,117","1,930",449,"1,385",61,"4,627",288,209,893,88,230,536,"3,086",173,150,"1,303",957,228,"1,209",269,304,"1,533",974,487,689,658,"4,762",312,"10,586","2,394","1,420","2,103",103,"1,829",559,643,"29,724",382,968,"1,910","1,049"
14,부산광역시,"166,158",496,59,"1,015",613,792,826,59,839,525,703,114,333,"2,800",63,132,656,"3,595","1,350","1,046",67,231,"1,887","1,512","1,345",816,"1,615","1,096",915,469,245,713,536,"7,599",464,29,443,"8,468","4,067",862,103,"1,110",549,141,969,"1,378","1,770","1,730",528,693,790,"3,009",157,553,320,"4,370",129,640,136,624,"1,573","1,309","1,020","1,850",60,"7,025",589,219,"1,032",201,338,"1,074","2,435",114,188,"1,134","1,118",332,353,"1,780",235,"1,804",777,664,"1,328",714,"4,148",236,"21,555","2,790",192,"2,660",335,"2,980",585,"1,163","25,158",599,"1,608","2,434","1,355"
15,울산광역시,"53,671",164,29,308,204,98,267,23,231,142,221,31,47,915,26,28,155,"1,641",404,351,17,49,667,530,533,223,700,232,487,239,74,182,192,"2,680",113,6,124,"2,358",807,232,44,417,195,19,169,446,834,608,153,286,223,753,26,107,187,"1,134",50,221,33,140,423,606,177,802,16,"1,773",114,73,376,47,76,282,"1,119",57,61,618,383,98,217,246,125,514,147,175,392,228,"1,625",88,"4,302","1,129",136,975,79,915,241,287,"11,034",142,331,965,502
16,경상남도,"163,758",538,156,993,754,"1,008",701,69,"1,024",717,540,95,280,"2,445",41,76,"1,262","4,052","1,748",907,84,148,"1,267","1,686","1,812",685,"1,520","1,044","1,061",406,276,750,589,"7,268",386,12,237,"6,921","3,951",602,84,929,502,42,441,"1,304","1,932","1,844",450,"1,346",566,"3,819",75,401,441,"3,041",158,590,93,502,"1,301","2,292",542,"2,190",62,"5,579",411,232,825,131,243,743,"3,277",202,173,"1,244","1,162",294,"1,040",730,330,"1,682",926,561,925,692,"4,635",326,"13,143","3,462","1,506","3,041",172,"3,111",605,824,"33,047",458,"1,277","2,354","1,337"
