"지수종류별(1)",2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04
"제조업",5793.32,5565.65,5634,5836.45,5676.43,5389.21,5323.39,5449.32,5393.59,4629.03,4716.47,4579.62,5087.28,5037.85,4902.15,5097.73,4670.68,4945.3,4710.39,4606.33,4896.77,4971.85,4930.53,5273.05,5160.22,4893.83,4345.98,4741.91,4916.36,5195.26,5601.59,5753.98,5822.45,5669.15,6638.83,7548.59,7868.24,7915.1,7919.49,8055.23
"음식료품",4519.07,4208.97,4273.76,4451.48,4436.98,4628.44,4332.49,4063.7,4077.32,3665.33,3961.63,3960.01,4047.11,4014.01,4050.36,3991.86,3645.13,3740.9,3450.11,3251.38,3453.54,3410.15,3431.14,3480.12,3295.05,3178.68,3050.78,3580.69,3829.5,3991.31,4151.47,4206.7,3962.3,3632.83,3785.52,3940.15,4006.58,4065.58,4209.34,4140.29
"섬유의복",307.05,279.95,285.77,298.91,307.39,312.88,298.93,327.5,320.06,257.27,259.91,253.51,267.78,286.28,312.5,318.99,292.8,298.43,285.99,266.49,285.42,282.12,287.74,289.14,259.04,232.81,197.62,234.95,244.44,232.35,222.92,251.55,245.83,243.69,248.76,254.64,267.45,314.22,315.45,378.35
"종이목재",337.45,344.71,374.29,399.69,452.77,406.3,385.94,444,437.57,351.07,351.57,357.66,384.2,390.02,386.45,397.01,381.55,391.83,343.65,364.67,348.74,338.47,330.44,330.11,352.95,320.97,270.8,321.52,315.86,295.91,304.87,312.71,321.13,330.36,418.97,392.31,393.32,408.53,451.73,466.75
"화학",6385.57,6074.11,6097.05,6187.08,5882.77,5792.04,5675.43,5625.06,5600.71,4646.56,4887.66,4874.93,5142.43,5275.01,5110.77,5133.95,4669.26,4733.17,4525.94,4369.96,4461.52,4559.73,4479.44,4591.69,4267.39,4037.85,3504.5,4146.89,4228.92,4450.35,4806.56,5511.23,5243.79,5201.97,6175.73,6503.57,7161.87,7144.94,7180.54,7789.58
"의약품",14179.41,14839.06,14672.94,13863.89,13284.62,13320.24,12281.44,13665.52,14878.96,10867.84,11381.22,11626.69,11773.39,11473.64,10302.94,11127.72,9951.76,10349.47,8937.99,8538.84,8978.69,10792.64,10229.68,11031,10902.3,10565.78,12262.83,12996.52,13662.77,17125.94,17331.91,18913.09,16893.67,16231.37,19761.92,21085.04,19286.05,18113.52,17813.7,17641.55
"비금속광물",1524.83,1369.28,1376.07,1695.15,2030.56,1686.87,1644.04,1796.92,1896.78,1495.08,1674.1,1661.05,1817.81,1747.23,1730.43,1691.35,1651.96,1699.23,1506.53,1543,1522.35,1507.52,1468.46,1489.51,1408.72,1340.51,1138.72,1368.26,1438.23,1559.16,1653.77,1784.88,1745.79,1620.26,1853.09,2071.15,2357.91,2638.13,2795.59,2809.24
"철강금속",5783.55,5489.57,5067.77,5542.42,5227.38,4875.56,4898.49,4877.01,4713.97,3972.97,4028.74,4043.12,4450.89,4376.72,4213.82,4246.97,3969.08,4145.27,3815.12,3638.72,3778.3,3508.32,3605.86,3693.15,3395.63,3147.69,2618.24,3011.6,3049.62,2872.64,3247.79,3150.69,3172.73,3305,3620.72,4112.28,3908.33,4292.5,4808.85,5616.1
"기계",999.13,918.11,930.8,964.35,978.42,871.59,855.53,876.74,925.36,736.8,771.38,765.14,848.14,796.47,753.79,791.51,737.95,765.3,716.77,709.21,744.99,698.16,673.26,701.59,649.76,608.82,485.03,563.26,607.97,620.66,721.31,828.57,801.2,793.76,952.04,972.02,960.55,926.88,1088.56,1118.35
"전기전자",18489.76,17588.77,18430.64,19472.1,19184.98,17805.32,17783.86,18317.4,17394.1,15784.05,15678.44,14447.02,16947.32,16675.95,16593.43,17173.67,15669.14,17071.05,16689.78,16277.85,17780.19,18208.01,18186.96,20207.86,20403.97,19573.08,17214.87,18179.44,18657.3,19455.28,21062.73,20007.16,21473.6,20801.35,24527.27,29788.48,30849.19,31278.98,30724.75,30626.15
"의료정밀",3058.88,3273.15,3416.17,3270.53,3644.32,3521.06,3279.09,3405.54,3420.39,2545.36,2462.3,2133.84,2603.78,2497.98,2533.59,2901.13,2494.93,2743.19,2514.59,2581.63,2580.41,2528.62,2307.66,2460.99,2201.92,1916.99,1690.48,1926.34,2186.3,2210.42,2405.32,2150.94,2268.23,2305.02,2523.46,2795.33,2740.77,3012.3,3169.59,3298.98
"운수장비",1737.84,1671.57,1599.41,1651.21,1539.81,1430.69,1464.84,1475.03,1546.85,1294.28,1336.19,1420.4,1575.98,1546.37,1459.67,1633.45,1520.04,1621.48,1538.98,1567.97,1643.24,1533.29,1532.82,1559.12,1470.53,1330.18,1014.14,1106.15,1214.04,1201.3,1377.02,1576.16,1629.98,1584.19,1799.29,1924.37,2281.59,2282.3,2282.76,2231.26
"유통업",498.56,456.76,473.6,489.91,471.58,459.65,431.65,429.76,452.2,378.12,394.82,393.5,411.92,415.66,420.2,424.29,377.7,388,353.53,341.96,349.36,350.33,355.86,369.33,350.09,324.4,277.83,336.21,331.1,331.13,324.85,328.53,336.26,340.07,369.32,394.67,392.02,399.95,411.58,425.76
"전기가스업",1135.9,1062.04,1061.96,1192.37,1105.54,1090.73,1099.88,1011.3,1010.99,919.84,981.8,1050.6,1107.88,1102.52,965.78,929.36,851.31,844.46,901.27,827.5,837.46,825.45,878.3,876.02,794.12,678.05,598.15,736.85,693.39,625.89,616.31,648.67,654.6,653.69,697.21,844.83,737.42,740.22,756.58,784.73
"건설업",113.87,101.87,107.74,136.84,145.69,120.47,120.04,121.21,125.98,97.27,109.17,112.6,121.54,113.32,111.53,111.29,108.39,113.78,98.33,94.16,100.16,93.38,91.72,94.07,86.48,78.51,67.87,84,86.23,80.95,85.79,85.82,82.89,85.12,94.72,106.2,107.25,107.65,118.68,127.11
"운수창고업",1517.66,1461.37,1509.77,1607.39,1463.05,1341.21,1378.95,1325.65,1365.18,1234.62,1333.94,1341.29,1402.56,1435.11,1312.44,1487.28,1447.12,1363.13,1283.44,1290.76,1265.6,1280.08,1298.96,1330.05,1250.76,1226.31,1097.06,1263.23,1335.23,1275.22,1322.88,1355.57,1398.33,1482.71,1738.56,1755.95,1862.49,2007.86,2158.88,2355.09
"통신업",376.42,342.15,340.61,338.14,327.29,347.48,370.21,385.19,416.7,387.57,418.78,397.99,373.77,375.12,365.61,356.33,358.04,368.47,350.47,342.16,347.23,339.66,348.64,345.69,329.3,310.52,257.67,310.3,314.12,302.92,308.17,334.42,321.57,296.4,326.59,325.16,331.28,339.83,371.74,400.56
"금융업",577.19,540.16,525.55,529.81,495.59,481.59,475.12,468.03,491.16,438.85,448.83,434.35,451.09,453.81,442.16,451.03,427.92,438.51,407.35,379.8,391.95,390.7,401.5,409.49,372.14,334.07,282.08,315.05,322.52,325.06,327.8,344.88,337.54,339.14,375.54,392.51,390.76,397.98,433.02,466.36
"은행",339.49,341.29,303.33,331.24,311.93,320.42,329.31,316.5,325.61,309.62,308.11,300.61,293.77,291.58,293.58,295.79,289.39,293.51,274.7,259.04,275.5,246.57,245.59,246.62,224.73,198.91,156.58,165.83,173.58,169.21,169.9,169.38,167.76,171.17,194.74,185.12,166.82,177.24,195.67,205.74
"증권",2402.75,2122.54,2075.89,2162.58,2126.55,1933.03,1810.88,1849.16,1915.34,1587.19,1767.51,1675.55,1833.75,1801.49,1789.45,1877.8,1808.1,1969.14,1803.42,1721.07,1767.69,1678.24,1709.26,1739.59,1596.21,1467.8,1290.31,1419.5,1442.46,1420.91,1564.57,1689.57,1623.36,1639.1,1887.2,1903.9,1905.27,1888.08,2060.36,2222.21
"보험",22296.29,21048.96,19773.83,19671.63,18032.94,17805.02,17914.73,17178.26,18265.86,17269.98,16711.13,16303.29,16780.72,17463.2,17090.5,17160.48,15579.44,15468.15,14388.27,12879.06,13150.57,12886.06,13464.64,13698.26,12249.88,11085.54,8740.77,10438.3,9876.75,9503.05,9806.15,10929.66,10919.65,11067.19,12033.64,12660.89,11596.24,12416.04,13359.53,13932.97
"서비스업",1362.9,1228.52,1267.3,1212.98,1159.61,1177.06,1147.92,1175.72,1176.32,1017.88,1127.99,1080,1135.15,1146.03,1148.32,1159.85,1091.96,1112.03,1106.7,1118.23,1138.31,1166.28,1176.93,1219.07,1202.74,1129.52,1050.36,1176.98,1353.58,1414.2,1584.23,1672.83,1608.82,1487.38,1572.83,1639.72,1752.9,1810.09,1825.75,1858.22
