,corp,city,2
0,업종전체,합계," 2,389,698 "
1,업종전체,서울특별시," 476,341 "
2,업종전체,인천광역시," 121,552 "
3,업종전체,경기도," 551,603 "
4,업종전체,강원도," 85,274 "
5,업종전체,대전광역시," 70,226 "
6,업종전체,충청북도," 77,078 "
7,업종전체,충청남도," 100,995 "
8,업종전체,세종특별자치시," 12,461 "
9,업종전체,광주광역시," 70,526 "
10,업종전체,전라북도," 84,743 "
11,업종전체,전라남도," 85,297 "
12,업종전체,대구광역시," 114,676 "
13,업종전체,경상북도," 129,179 "
14,업종전체,부산광역시," 157,267 "
15,업종전체,울산광역시," 51,419 "
16,업종전체,경상남도," 157,090 "
17,업종전체,제주특별자치도," 43,971 "
18,가구점,합계," 7,521 "
19,가구점,서울특별시," 1,028 "
20,가구점,인천광역시, 299 
21,가구점,경기도," 1,908 "
22,가구점,강원도, 302 
23,가구점,대전광역시, 210 
24,가구점,충청북도, 288 
25,가구점,충청남도, 298 
26,가구점,세종특별자치시, 24 
27,가구점,광주광역시, 213 
28,가구점,전라북도, 396 
29,가구점,전라남도, 269 
30,가구점,대구광역시, 370 
31,가구점,경상북도, 475 
32,가구점,부산광역시, 516 
33,가구점,울산광역시, 183 
34,가구점,경상남도, 547 
35,가구점,제주특별자치도, 195 
36,가전제품수리점,합계," 15,251 "
37,가전제품수리점,서울특별시," 2,427 "
38,가전제품수리점,인천광역시," 1,099 "
39,가전제품수리점,경기도," 4,466 "
40,가전제품수리점,강원도, 531 
41,가전제품수리점,대전광역시, 510 
42,가전제품수리점,충청북도, 465 
43,가전제품수리점,충청남도, 649 
44,가전제품수리점,세종특별자치시, 66 
45,가전제품수리점,광주광역시, 447 
46,가전제품수리점,전라북도, 496 
47,가전제품수리점,전라남도, 502 
48,가전제품수리점,대구광역시, 729 
49,가전제품수리점,경상북도, 542 
50,가전제품수리점,부산광역시, 932 
51,가전제품수리점,울산광역시, 302 
52,가전제품수리점,경상남도, 890 
53,가전제품수리점,제주특별자치도, 198 
54,가전제품판매점,합계," 10,100 "
55,가전제품판매점,서울특별시," 1,538 "
56,가전제품판매점,인천광역시, 361 
57,가전제품판매점,경기도," 1,931 "
58,가전제품판매점,강원도, 467 
59,가전제품판매점,대전광역시, 306 
60,가전제품판매점,충청북도, 436 
61,가전제품판매점,충청남도, 531 
62,가전제품판매점,세종특별자치시, 42 
63,가전제품판매점,광주광역시, 349 
64,가전제품판매점,전라북도, 528 
65,가전제품판매점,전라남도, 579 
66,가전제품판매점,대구광역시, 523 
67,가전제품판매점,경상북도, 697 
68,가전제품판매점,부산광역시, 613 
69,가전제품판매점,울산광역시, 201 
70,가전제품판매점,경상남도, 753 
71,가전제품판매점,제주특별자치도, 245 
72,간이주점,합계," 14,756 "
73,간이주점,서울특별시," 4,798 "
74,간이주점,인천광역시," 1,527 "
75,간이주점,경기도," 2,878 "
76,간이주점,강원도, 433 
77,간이주점,대전광역시, 74 
78,간이주점,충청북도, 471 
79,간이주점,충청남도, 681 
80,간이주점,세종특별자치시, 16 
81,간이주점,광주광역시, 190 
82,간이주점,전라북도, 324 
83,간이주점,전라남도, 253 
84,간이주점,대구광역시, 286 
85,간이주점,경상북도, 394 
86,간이주점,부산광역시, 940 
87,간이주점,울산광역시, 110 
88,간이주점,경상남도," 1,204 "
89,간이주점,제주특별자치도, 177 
90,간판광고물업,합계," 12,987 "
91,간판광고물업,서울특별시," 2,669 "
92,간판광고물업,인천광역시, 549 
93,간판광고물업,경기도," 3,172 "
94,간판광고물업,강원도, 514 
95,간판광고물업,대전광역시, 394 
96,간판광고물업,충청북도, 377 
97,간판광고물업,충청남도, 455 
98,간판광고물업,세종특별자치시, 26 
99,간판광고물업,광주광역시, 443 
100,간판광고물업,전라북도, 500 
101,간판광고물업,전라남도, 472 
102,간판광고물업,대구광역시, 781 
103,간판광고물업,경상북도, 656 
104,간판광고물업,부산광역시, 831 
105,간판광고물업,울산광역시, 260 
106,간판광고물업,경상남도, 697 
107,간판광고물업,제주특별자치도, 191 
108,감정평가사,합계," 1,169 "
109,감정평가사,서울특별시, 255 
110,감정평가사,인천광역시, 78 
111,감정평가사,경기도, 374 
112,감정평가사,강원도, 33 
