사업자 현황 (5월/100대 생활업종),,,,,,,
*조회년월,,2019년 5월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,337,954","2,326,567",100.49%,"2,243,707",104.20%
업종전체,서울특별시,합계,"466,911","464,744",100.47%,"449,895",103.78%
업종전체,서울특별시,종로구,"16,698","16,647",100.31%,"16,426",101.66%
업종전체,서울특별시,중구,"18,418","18,369",100.27%,"18,011",102.26%
업종전체,서울특별시,용산구,"13,395","13,332",100.47%,"13,018",102.90%
업종전체,서울특별시,성동구,"14,231","14,142",100.63%,"13,343",106.66%
업종전체,서울특별시,광진구,"16,639","16,543",100.58%,"15,879",104.79%
업종전체,서울특별시,동대문구,"16,618","16,607",100.07%,"16,325",101.79%
업종전체,서울특별시,중랑구,"15,043","14,979",100.43%,"14,481",103.88%
업종전체,서울특별시,성북구,"16,026","15,977",100.31%,"15,473",103.57%
업종전체,서울특별시,강북구,"12,980","12,929",100.39%,"12,507",103.78%
업종전체,서울특별시,도봉구,"11,279","11,238",100.36%,"10,876",103.71%
업종전체,서울특별시,노원구,"16,878","16,805",100.43%,"16,293",103.59%
업종전체,서울특별시,은평구,"17,023","16,918",100.62%,"16,297",104.45%
업종전체,서울특별시,서대문구,"13,102","13,034",100.52%,"12,623",103.79%
업종전체,서울특별시,마포구,"24,343","24,258",100.35%,"23,307",104.45%
업종전체,서울특별시,양천구,"16,442","16,371",100.43%,"16,028",102.58%
업종전체,서울특별시,강서구,"22,962","22,792",100.75%,"21,283",107.89%
업종전체,서울특별시,구로구,"16,653","16,551",100.62%,"16,144",103.15%
업종전체,서울특별시,금천구,"11,745","11,632",100.97%,"10,897",107.78%
업종전체,서울특별시,영등포구,"21,252","21,149",100.49%,"20,709",102.62%
업종전체,서울특별시,동작구,"14,676","14,609",100.46%,"14,263",102.90%
업종전체,서울특별시,관악구,"18,744","18,650",100.50%,"18,040",103.90%
업종전체,서울특별시,서초구,"29,748","29,638",100.37%,"28,888",102.98%
업종전체,서울특별시,강남구,"44,486","44,292",100.44%,"43,307",102.72%
업종전체,서울특별시,송파구,"29,669","29,474",100.66%,"28,037",105.82%
업종전체,서울특별시,강동구,"17,861","17,808",100.30%,"17,440",102.41%
업종전체,인천광역시,합계,"118,354","117,732",100.53%,"112,410",105.29%
업종전체,인천광역시,중구,"7,276","7,238",100.53%,"6,777",107.36%
