사업자 현황 ( 5월/100대 생활업종),,,,,,,
*조회년월,,2020년 5월,,,,,
,,,,,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,448,536 ","2,433,695 ",100.61%,"2,340,829 ",104.60%
업종전체,서울특별시,합계,"487,912 ","484,468 ",100.71%,"467,124 ",104.45%
업종전체,서울특별시,종로구,"16,906 ","16,844 ",100.37%,"16,708 ",101.19%
업종전체,서울특별시,중구,"18,752 ","18,688 ",100.34%,"18,429 ",101.75%
업종전체,서울특별시,용산구,"13,898 ","13,776 ",100.89%,"13,399 ",103.72%
업종전체,서울특별시,성동구,"15,300 ","15,208 ",100.60%,"14,231 ",107.51%
업종전체,서울특별시,광진구,"17,418 ","17,302 ",100.67%,"16,644 ",104.65%
업종전체,서울특별시,동대문구,"16,853 ","16,743 ",100.66%,"16,633 ",101.32%
업종전체,서울특별시,중랑구,"15,524 ","15,412 ",100.73%,"15,048 ",103.16%
업종전체,서울특별시,성북구,"16,603 ","16,486 ",100.71%,"16,031 ",103.57%
업종전체,서울특별시,강북구,"13,418 ","13,307 ",100.83%,"12,982 ",103.36%
업종전체,서울특별시,도봉구,"11,683 ","11,567 ",101.00%,"11,282 ",103.55%
업종전체,서울특별시,노원구,"17,570 ","17,460 ",100.63%,"16,887 ",104.04%
업종전체,서울특별시,은평구,"17,879 ","17,735 ",100.81%,"17,026 ",105.01%
업종전체,서울특별시,서대문구,"13,707 ","13,604 ",100.76%,"13,108 ",104.57%
업종전체,서울특별시,마포구,"25,659 ","25,535 ",100.49%,"24,358 ",105.34%
업종전체,서울특별시,양천구,"17,129 ","16,995 ",100.79%,"16,448 ",104.14%
업종전체,서울특별시,강서구,"24,841 ","24,637 ",100.83%,"22,973 ",108.13%
업종전체,서울특별시,구로구,"17,316 ","17,160 ",100.91%,"16,657 ",103.96%
업종전체,서울특별시,금천구,"12,616 ","12,483 ",101.07%,"11,747 ",107.40%
업종전체,서울특별시,영등포구,"22,427 ","22,269 ",100.71%,"21,258 ",105.50%
업종전체,서울특별시,동작구,"15,205 ","15,147 ",100.38%,"14,681 ",103.57%
업종전체,서울특별시,관악구,"19,815 ","19,614 ",101.02%,"18,757 ",105.64%
업종전체,서울특별시,서초구,"30,856 ","30,695 ",100.52%,"29,778 ",103.62%
업종전체,서울특별시,강남구,"46,319 ","46,004 ",100.68%,"44,498 ",104.09%
업종전체,서울특별시,송파구,"31,354 ","31,093 ",100.84%,"29,683 ",105.63%
업종전체,서울특별시,강동구,"18,864 ","18,704 ",100.86%,"17,878 ",105.52%
업종전체,부산광역시,합계,"160,868 ","159,961 ",100.57%,"154,999 ",103.79%
업종전체,부산광역시,중구,"6,427 ","6,428 ",99.98%,"6,537 ",98.32%
업종전체,부산광역시,강서구,"6,615 ","6,551 ",100.98%,"5,931 ",111.53%
업종전체,부산광역시,서구,"4,429 ","4,394 ",100.80%,"4,353 ",101.75%
업종전체,부산광역시,동구,"5,944 ","5,897 ",100.80%,"5,764 ",103.12%
업종전체,부산광역시,영도구,"4,127 ","4,087 ",100.98%,"4,053 ",101.83%
업종전체,부산광역시,부산진구,"20,142 ","20,059 ",100.41%,"19,356 ",104.06%
업종전체,부산광역시,동래구,"12,803 ","12,706 ",100.76%,"12,249 ",104.52%
업종전체,부산광역시,남구,"11,114 ","11,075 ",100.35%,"10,773 ",103.17%
업종전체,부산광역시,북구,"9,859 ","9,814 ",100.46%,"9,545 ",103.29%
업종전체,부산광역시,해운대구,"17,889 ","17,803 ",100.48%,"17,223 ",103.87%
업종전체,부산광역시,사하구,"12,051 ","11,977 ",100.62%,"11,753 ",102.54%
업종전체,부산광역시,금정구,"11,185 ","11,133 ",100.47%,"10,839 ",103.19%
업종전체,부산광역시,연제구,"10,535 ","10,479 ",100.53%,"10,030 ",105.03%
업종전체,부산광역시,수영구,"10,009 ","9,931 ",100.79%,"9,470 ",105.69%
업종전체,부산광역시,사상구,"10,086 ","10,057 ",100.29%,"9,950 ",101.37%
업종전체,부산광역시,기장군,"7,653 ","7,570 ",101.10%,"7,173 ",106.69%
업종전체,대구광역시,합계,"117,073 ","116,345 ",100.63%,"112,725 ",103.86%
업종전체,대구광역시,중구,"11,976 ","11,924 ",100.44%,"11,741 ",102.00%
업종전체,대구광역시,서구,"8,414 ","8,380 ",100.41%,"8,316 ",101.18%
업종전체,대구광역시,동구,"15,237 ","15,153 ",100.55%,"14,889 ",102.34%
업종전체,대구광역시,남구,"8,205 ","8,122 ",101.02%,"7,987 ",102.73%
업종전체,대구광역시,북구,"18,722 ","18,589 ",100.72%,"17,873 ",104.75%
업종전체,대구광역시,수성구,"20,456 ","20,330 ",100.62%,"19,456 ",105.14%
업종전체,대구광역시,달서구,"24,165 ","24,076 ",100.37%,"23,274 ",103.83%
업종전체,대구광역시,달성군,"9,898 ","9,771 ",101.30%,"9,189 ",107.72%
업종전체,인천광역시,합계,"124,990 ","124,167 ",100.66%,"118,435 ",105.53%
업종전체,인천광역시,중구,"7,894 ","7,834 ",100.77%,"7,283 ",108.39%
업종전체,인천광역시,서구,"22,042 ","21,842 ",100.92%,"20,469 ",107.68%
업종전체,인천광역시,동구,"2,838 ","2,828 ",100.35%,"2,777 ",102.20%
업종전체,인천광역시,미추홀구,"17,736 ","17,622 ",100.65%,"17,037 ",104.10%
업종전체,인천광역시,연수구,"13,563 ","13,465 ",100.73%,"12,424 ",109.17%
업종전체,인천광역시,남동구,"22,894 ","22,720 ",100.77%,"21,774 ",105.14%
업종전체,인천광역시,부평구,"20,937 ","20,815 ",100.59%,"20,157 ",103.87%
업종전체,인천광역시,계양구,"11,666 ","11,654 ",100.10%,"11,389 ",102.43%
업종전체,인천광역시,강화군,"4,077 ","4,064 ",100.32%,"3,866 ",105.46%
업종전체,인천광역시,옹진군,"1,343 ","1,323 ",101.51%,"1,259 ",106.67%
업종전체,광주광역시,합계,"71,892 ","71,610 ",100.39%,"69,320 ",103.71%
업종전체,광주광역시,서구,"16,737 ","16,662 ",100.45%,"16,179 ",103.45%
업종전체,광주광역시,동구,"8,437 ","8,433 ",100.05%,"8,362 ",100.90%
업종전체,광주광역시,남구,"9,057 ","9,034 ",100.25%,"8,630 ",104.95%
업종전체,광주광역시,북구,"19,723 ","19,630 ",100.47%,"19,056 ",103.50%
업종전체,광주광역시,광산구,"17,938 ","17,851 ",100.49%,"17,093 ",104.94%
업종전체,대전광역시,합계,"71,531 ","71,282 ",100.35%,"68,972 ",103.71%
업종전체,대전광역시,중구,"12,442 ","12,440 ",100.02%,"12,170 ",102.24%
업종전체,대전광역시,서구,"23,892 ","23,769 ",100.52%,"22,936 ",104.17%
업종전체,대전광역시,동구,"10,432 ","10,420 ",100.12%,"10,185 ",102.43%
업종전체,대전광역시,유성구,"16,451 ","16,356 ",100.58%,"15,579 ",105.60%
업종전체,대전광역시,대덕구,"8,314 ","8,297 ",100.20%,"8,102 ",102.62%
업종전체,울산광역시,합계,"52,194 ","51,957 ",100.46%,"50,705 ",102.94%
업종전체,울산광역시,중구,"9,894 ","9,854 ",100.41%,"9,652 ",102.51%
업종전체,울산광역시,동구,"6,306 ","6,301 ",100.08%,"6,327 ",99.67%
업종전체,울산광역시,남구,"18,905 ","18,824 ",100.43%,"18,467 ",102.37%
업종전체,울산광역시,북구,"7,670 ","7,612 ",100.76%,"7,158 ",107.15%
업종전체,울산광역시,울주군,"9,419 ","9,366 ",100.57%,"9,101 ",103.49%
업종전체,세종특별자치시,합계,"13,340 ","13,236 ",100.79%,"11,910 ",112.01%
업종전체,세종특별자치시,세종시,"13,340 ","13,236 ",100.79%,"11,910 ",112.01%
업종전체,경기도,합계,"573,325 ","568,995 ",100.76%,"535,193 ",107.12%
업종전체,경기도,수원시 장안구,"10,624 ","10,599 ",100.24%,"10,363 ",102.52%
업종전체,경기도,수원시 권선구,"13,718 ","13,616 ",100.75%,"12,801 ",107.16%
업종전체,경기도,수원시 팔달구,"12,033 ","11,980 ",100.44%,"11,739 ",102.50%
업종전체,경기도,수원시 영통구,"14,340 ","14,243 ",100.68%,"13,182 ",108.78%
업종전체,경기도,성남시 수정구,"10,443 ","10,352 ",100.88%,"9,751 ",107.10%
업종전체,경기도,성남시 중원구,"10,228 ","10,136 ",100.91%,"9,823 ",104.12%
업종전체,경기도,성남시 분당구,"22,141 ","22,017 ",100.56%,"21,194 ",104.47%
업종전체,경기도,의정부시,"20,416 ","20,286 ",100.64%,"19,399 ",105.24%
업종전체,경기도,안양시 만안구,"10,303 ","10,271 ",100.31%,"9,922 ",103.84%
업종전체,경기도,안양시 동안구,"14,675 ","14,656 ",100.13%,"14,019 ",104.68%
업종전체,경기도,부천시,"36,915 ","36,641 ",100.75%,"35,203 ",104.86%
업종전체,경기도,광명시,"11,915 ","11,860 ",100.46%,"11,501 ",103.60%
업종전체,경기도,평택시,"24,589 ","24,419 ",100.70%,"23,084 ",106.52%
업종전체,경기도,동두천시,"4,326 ","4,294 ",100.75%,"4,204 ",102.90%
업종전체,경기도,안산시 상록구,"13,353 ","13,234 ",100.90%,"12,691 ",105.22%
업종전체,경기도,안산시 단원구,"16,775 ","16,670 ",100.63%,"15,931 ",105.30%
업종전체,경기도,고양시 덕양구,"17,856 ","17,690 ",100.94%,"16,585 ",107.66%
업종전체,경기도,고양시 일산동구,"16,900 ","16,798 ",100.61%,"15,962 ",105.88%
업종전체,경기도,고양시 일산서구,"12,270 ","12,153 ",100.96%,"11,487 ",106.82%
업종전체,경기도,과천시,"2,404 ","2,404 ",100.00%,"2,274 ",105.72%
업종전체,경기도,구리시,"9,510 ","9,427 ",100.88%,"9,010 ",105.55%
업종전체,경기도,남양주시,"28,822 ","28,575 ",100.86%,"26,164 ",110.16%
업종전체,경기도,오산시,"8,657 ","8,586 ",100.83%,"8,192 ",105.68%
업종전체,경기도,시흥시,"21,070 ","20,898 ",100.82%,"18,936 ",111.27%
업종전체,경기도,군포시,"9,888 ","9,862 ",100.26%,"9,456 ",104.57%
업종전체,경기도,의왕시,"5,215 ","5,192 ",100.44%,"4,924 ",105.91%
업종전체,경기도,하남시,"11,823 ","11,627 ",101.69%,"9,775 ",120.95%
업종전체,경기도,용인시 처인구,"12,003 ","11,907 ",100.81%,"11,084 ",108.29%
업종전체,경기도,용인시 기흥구,"16,098 ","15,865 ",101.47%,"14,489 ",111.10%
업종전체,경기도,용인시 수지구,"11,832 ","11,683 ",101.28%,"10,680 ",110.79%
업종전체,경기도,파주시,"19,633 ","19,481 ",100.78%,"18,127 ",108.31%
업종전체,경기도,이천시,"9,777 ","9,724 ",100.55%,"9,351 ",104.56%
