사업자 현황 ( 8월/100대 생활업종),,,,,,,
*조회년월,,2020년 8월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,498,599","2,485,979",100.51%,"2,369,932",105.43%
업종전체,서울특별시,합계,"498,716","496,455",100.46%,"472,512",105.55%
업종전체,서울특별시,종로구,"17,085","17,093",99.95%,"16,745",102.03%
업종전체,서울특별시,중구,"18,777","18,779",99.99%,"18,541",101.27%
업종전체,서울특별시,용산구,"14,188","14,110",100.55%,"13,485",105.21%
업종전체,서울특별시,성동구,"15,688","15,598",100.58%,"14,495",108.23%
업종전체,서울특별시,광진구,"17,796","17,701",100.54%,"16,762",106.17%
업종전체,서울특별시,동대문구,"17,205","17,158",100.27%,"16,665",103.24%
업종전체,서울특별시,중랑구,"15,969","15,846",100.78%,"15,209",105.00%
업종전체,서울특별시,성북구,"17,020","16,942",100.46%,"16,198",105.07%
업종전체,서울특별시,강북구,"13,698","13,684",100.10%,"13,050",104.97%
업종전체,서울특별시,도봉구,"11,927","11,887",100.34%,"11,395",104.67%
업종전체,서울특별시,노원구,"17,994","17,887",100.60%,"17,076",105.38%
업종전체,서울특별시,은평구,"18,371","18,221",100.82%,"17,220",106.68%
업종전체,서울특별시,서대문구,"13,908","13,907",100.01%,"13,315",104.45%
업종전체,서울특별시,마포구,"26,190","26,076",100.44%,"24,733",105.89%
업종전체,서울특별시,양천구,"17,517","17,439",100.45%,"16,684",104.99%
업종전체,서울특별시,강서구,"25,652","25,434",100.86%,"23,375",109.74%
업종전체,서울특별시,구로구,"17,773","17,635",100.78%,"16,754",106.08%
업종전체,서울특별시,금천구,"12,971","12,891",100.62%,"11,958",108.47%
업종전체,서울특별시,영등포구,"22,957","22,890",100.29%,"21,533",106.61%
업종전체,서울특별시,동작구,"15,464","15,424",100.26%,"14,813",104.39%
업종전체,서울특별시,관악구,"20,342","20,249",100.46%,"19,029",106.90%
업종전체,서울특별시,서초구,"31,427","31,270",100.50%,"30,181",104.13%
업종전체,서울특별시,강남구,"47,314","47,117",100.42%,"45,024",105.09%
업종전체,서울특별시,송파구,"32,127","31,971",100.49%,"30,126",106.64%
업종전체,서울특별시,강동구,"19,356","19,246",100.57%,"18,146",106.67%
업종전체,인천광역시,합계,"128,028","127,035",100.78%,"120,307",106.42%
업종전체,인천광역시,중구,"8,172","8,094",100.96%,"7,483",109.21%
